Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Taxonomic lineage	EC number
K2Q9I3	unreviewed	K2Q9I3_METFP	Cobyrinic acid ac-diamide synthase	A994_12722	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9I9	unreviewed	K2Q9I9_METFP	Probable membrane transporter protein	A994_12593	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9J6	unreviewed	K2Q9J6_METFP	Uncharacterized protein	A994_12618	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9K0	unreviewed	K2Q9K0_METFP	Uncharacterized protein	A994_12643	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9K9	unreviewed	K2Q9K9_METFP	Lmbe family protein	A994_12668	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9L5	unreviewed	K2Q9L5_METFP	Uncharacterized protein	A994_12318	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9N2	unreviewed	K2Q9N2_METFP	4Fe-4S ferredoxin	A994_12368	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9P0	unreviewed	K2Q9P0_METFP	Uncharacterized protein	A994_12393	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9P7	unreviewed	K2Q9P7_METFP	Uncharacterized protein	A994_12418	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9R8	unreviewed	K2Q9R8_METFP	Uncharacterized protein	A994_12493	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9S5	unreviewed	K2Q9S5_METFP	Uncharacterized protein	A994_12518	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9T1	unreviewed	K2Q9T1_METFP	Uncharacterized protein	A994_12543	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9T7	unreviewed	K2Q9T7_METFP	BPL_N domain-containing protein	A994_12568	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9U2	unreviewed	K2Q9U2_METFP	Thioesterase	A994_11921	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9U8	unreviewed	K2Q9U8_METFP	LemA family protein	A994_11946	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9V6	unreviewed	K2Q9V6_METFP	Uncharacterized protein	A994_11996	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9W0	unreviewed	K2Q9W0_METFP	Uncharacterized protein	A994_12021	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9W3	unreviewed	K2Q9W3_METFP	UPF0145 protein A994_12046	A994_12046	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9W8	unreviewed	K2Q9W8_METFP	Uncharacterized protein	A994_12071	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9X2	unreviewed	K2Q9X2_METFP	Alpha/beta hydrolase fold protein	A994_12096	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9X9	unreviewed	K2Q9X9_METFP	Uncharacterized protein	A994_12121	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9Y4	unreviewed	K2Q9Y4_METFP	NADPH-dependent FMN reductase	A994_12146	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9Z0	unreviewed	K2Q9Z0_METFP	Uncharacterized protein	A994_12171	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2Q9Z7	unreviewed	K2Q9Z7_METFP	Uncharacterized protein	A994_12196	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA03	unreviewed	K2QA03_METFP	Uncharacterized protein	A994_12221	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA08	unreviewed	K2QA08_METFP	Uncharacterized protein	A994_12246	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA14	unreviewed	K2QA14_METFP	Uncharacterized protein	A994_12271	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA31	unreviewed	K2QA31_METFP	DevR family CRISPR-associated autoregulator	A994_11422	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA43	unreviewed	K2QA43_METFP	Uncharacterized protein	A994_11472	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA50	unreviewed	K2QA50_METFP	Thermosome	A994_11497	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA68	unreviewed	K2QA68_METFP	UPF0305 protein A994_11572	A994_11572	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA73	unreviewed	K2QA73_METFP	Monovalent cation:proton antiporter-2 (CPA2) family protein	A994_11597	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA95	unreviewed	K2QA95_METFP	Uncharacterized protein	A994_11622	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QA98	unreviewed	K2QA98_METFP	Radical SAM protein	A994_11647	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAA3	unreviewed	K2QAA3_METFP	Rubrerythrin	A994_11697	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAA6	unreviewed	K2QAA6_METFP	Uncharacterized protein	A994_11722	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAA8	unreviewed	K2QAA8_METFP	Uncharacterized protein	A994_11747	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAB1	unreviewed	K2QAB1_METFP	Uncharacterized protein	A994_11772	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAB4	unreviewed	K2QAB4_METFP	Uncharacterized protein	A994_11797	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAC0	unreviewed	K2QAC0_METFP	Small GTP-binding protein	A994_11847	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAC5	unreviewed	K2QAC5_METFP	NIL domain-containing protein	A994_11872	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAD3	unreviewed	K2QAD3_METFP	Group 1 glycosyl transferase	A994_10907	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAD6	unreviewed	K2QAD6_METFP	Glycosyltransferase	A994_10932	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAE1	unreviewed	K2QAE1_METFP	Family 2 glycosyl transferase	A994_10957	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAE4	unreviewed	K2QAE4_METFP	Sensory transduction histidine kinase	A994_10982	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAE9	unreviewed	K2QAE9_METFP	Roadblock/LC7 family protein	A994_11007	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAF3	unreviewed	K2QAF3_METFP	Uncharacterized protein	A994_11032	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAG6	unreviewed	K2QAG6_METFP	Uncharacterized protein	A994_11107	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAH4	unreviewed	K2QAH4_METFP	Uncharacterized protein	A994_11157	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAH8	unreviewed	K2QAH8_METFP	Thermosome	A994_11182	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAI2	unreviewed	K2QAI2_METFP	FUN34-like protein	A994_11207	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAI7	unreviewed	K2QAI7_METFP	Uncharacterized protein	A994_11232	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAJ1	unreviewed	K2QAJ1_METFP	PBS lyase HEAT domain-containing protein	A994_11257	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAJ6	unreviewed	K2QAJ6_METFP	Uncharacterized protein	A994_11282	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAK1	unreviewed	K2QAK1_METFP	VWA containing CoxE family protein	A994_11307	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAK5	unreviewed	K2QAK5_METFP	Sensory transduction histidine kinase	A994_11332	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAK9	unreviewed	K2QAK9_METFP	NADPH-dependent FMN reductase	A994_11357	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAL4	unreviewed	K2QAL4_METFP	Phycocyanin alpha phycocyanobilin lyase CpcE	A994_11382	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAL9	unreviewed	K2QAL9_METFP	Uncharacterized protein	A994_10289	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAM4	unreviewed	K2QAM4_METFP	VWFA domain-containing protein	A994_10324	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAM8	unreviewed	K2QAM8_METFP	N-acetyltransferase GCN5	A994_10349	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAN4	unreviewed	K2QAN4_METFP	zinc_ribbon_2 domain-containing protein	A994_10374	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAN8	unreviewed	K2QAN8_METFP	Response regulator receiver protein	A994_10399	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAP2	unreviewed	K2QAP2_METFP	PAS/PAC sensor protein	A994_10424	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAP7	unreviewed	K2QAP7_METFP	Uncharacterized protein	A994_10449	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAQ2	unreviewed	K2QAQ2_METFP	Propeptide PepSY amd peptidase M4	A994_10474	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAR7	unreviewed	K2QAR7_METFP	Asparaginyl/glutamyl-tRNA amidotransferase subunit C, EC 6.3.5.6	gatC A994_10549	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.5.6
K2QAS2	unreviewed	K2QAS2_METFP	Cysteine synthase A	A994_10574	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAS9	unreviewed	K2QAS9_METFP	Pyridoxamine 5'-phosphate oxidase-like FMN-binding protein	A994_10624	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAT5	unreviewed	K2QAT5_METFP	TetR family transcriptional regulator	A994_10674	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAU2	unreviewed	K2QAU2_METFP	Uncharacterized protein	A994_10724	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAU6	unreviewed	K2QAU6_METFP	Formylmethanofuran--tetrahydromethanopterin formyltransferase, EC 2.3.1.101	A994_10749	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.3.1.101
K2QAU8	unreviewed	K2QAU8_METFP	NADH ubiquinone oxidoreductase 20 kDa subunit	A994_10774	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAV4	unreviewed	K2QAV4_METFP	Uncharacterized protein	A994_10799	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAV7	unreviewed	K2QAV7_METFP	Uncharacterized protein	A994_10824	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAW2	unreviewed	K2QAW2_METFP	Heparan-alpha-glucosaminide N-acetyltransferase	A994_10849	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAW8	unreviewed	K2QAW8_METFP	Pseudomurein-binding repeat-containing protein	A994_10874	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAX4	unreviewed	K2QAX4_METFP	Uncharacterized protein	A994_09578	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAY5	unreviewed	K2QAY5_METFP	Uncharacterized protein	A994_09628	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAZ1	unreviewed	K2QAZ1_METFP	Uncharacterized protein	A994_09653	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAZ6	unreviewed	K2QAZ6_METFP	Stage II sporulation E family protein	A994_09678	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QAZ9	unreviewed	K2QAZ9_METFP	Potassium uptake protein TrkA	A994_09703	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB05	unreviewed	K2QB05_METFP	Hydrogenase maturation protease HycI	A994_09728	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB10	unreviewed	K2QB10_METFP	Uncharacterized protein	A994_09753	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB16	unreviewed	K2QB16_METFP	Precorrin-6x reductase	A994_09778	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB26	unreviewed	K2QB26_METFP	Uncharacterized protein	A994_09828	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB30	unreviewed	K2QB30_METFP	Fe-S cluster domain-containing protein	A994_09853	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB45	unreviewed	K2QB45_METFP	Uncharacterized protein	A994_09928	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB53	unreviewed	K2QB53_METFP	Uncharacterized protein	A994_09978	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB58	unreviewed	K2QB58_METFP	Magnesium chelatase	A994_10003	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB63	unreviewed	K2QB63_METFP	Abortive infection protein	A994_10028	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB66	unreviewed	K2QB66_METFP	Putative PAS/PAC sensor protein	A994_10053	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB71	unreviewed	K2QB71_METFP	30S ribosomal protein S3Ae (Ribosomal protein S1e)	rps3ae A994_10078	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB76	unreviewed	K2QB76_METFP	Ferripyochelin binding protein	A994_10103	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB82	unreviewed	K2QB82_METFP	Uncharacterized protein	A994_10128	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB87	unreviewed	K2QB87_METFP	ATPase AAA	A994_10153	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB93	unreviewed	K2QB93_METFP	Uncharacterized protein	A994_10178	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QB98	unreviewed	K2QB98_METFP	Uncharacterized protein	A994_10203	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBA5	unreviewed	K2QBA5_METFP	Potassium channel-like protein	A994_10228	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBB4	unreviewed	K2QBB4_METFP	Phosphonate-transporting ATPase	A994_10253	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBC3	unreviewed	K2QBC3_METFP	Uncharacterized protein	A994_08891	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBD1	unreviewed	K2QBD1_METFP	DUF5655 domain-containing protein	A994_08916	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBE0	unreviewed	K2QBE0_METFP	Uncharacterized protein	A994_08941	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBE6	unreviewed	K2QBE6_METFP	TspO and MBR-like protein	A994_08966	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBF3	unreviewed	K2QBF3_METFP	Uncharacterized protein	A994_08991	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBF8	unreviewed	K2QBF8_METFP	Uncharacterized protein	A994_09016	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBG4	unreviewed	K2QBG4_METFP	Pre-mRNA processing ribonucleoprotein, binding domain-containing protein	A994_09041	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBG9	unreviewed	K2QBG9_METFP	Uncharacterized protein	A994_09066	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBI2	unreviewed	K2QBI2_METFP	4-oxalocrotonate tautomerase	A994_09121	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBI6	unreviewed	K2QBI6_METFP	Sulfopyruvate decarboxylase subunit alpha	A994_09146	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBJ4	unreviewed	K2QBJ4_METFP	KH-domain/beta-lactamase-domain-containing protein	A994_09171	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBK0	unreviewed	K2QBK0_METFP	Signal transduction histidine kinase	A994_09196	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBK6	unreviewed	K2QBK6_METFP	Uncharacterized protein	A994_09221	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBL3	unreviewed	K2QBL3_METFP	Glutamate synthase subunit	A994_09246	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBL8	unreviewed	K2QBL8_METFP	Uncharacterized protein	A994_09271	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBN8	unreviewed	K2QBN8_METFP	ATP_bind_3 domain-containing protein	A994_09296	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBP8	unreviewed	K2QBP8_METFP	Deoxyribonuclease/rho motif-related TRAM	A994_09321	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBQ4	unreviewed	K2QBQ4_METFP	Dinitrogenase iron-molybdenum cofactor biosynthesis protein	A994_09346	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBQ9	unreviewed	K2QBQ9_METFP	Cation diffusion facilitator family transporter	A994_09371	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBR3	unreviewed	K2QBR3_METFP	Methyl-coenzyme M reductase operon protein C	A994_09396	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBS3	unreviewed	K2QBS3_METFP	Uncharacterized protein	A994_09471	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBS7	unreviewed	K2QBS7_METFP	ABC transporter subunit Ycf24	A994_09496	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBS9	unreviewed	K2QBS9_METFP	4Fe-4S ferredoxin	A994_09521	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBT3	unreviewed	K2QBT3_METFP	NMD3 family protein	A994_08156	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBT6	unreviewed	K2QBT6_METFP	Phosphoesterase, EC 3.1.4.-	A994_08181	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.1.4.-
K2QBU0	unreviewed	K2QBU0_METFP	Small GTP-binding protein	A994_08206	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBU9	unreviewed	K2QBU9_METFP	dUTP diphosphatase	A994_08281	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBV4	unreviewed	K2QBV4_METFP	Serine--pyruvate transaminase	A994_08306	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBV6	unreviewed	K2QBV6_METFP	ATPase AAA	A994_08331	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBW1	unreviewed	K2QBW1_METFP	Uncharacterized protein	A994_08356	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBX0	unreviewed	K2QBX0_METFP	Nitrogen regulatory protein P-ii	A994_08431	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBX2	unreviewed	K2QBX2_METFP	Glutamine amidotransferase class-ii	A994_08456	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBX7	unreviewed	K2QBX7_METFP	Malate dehydrogenase, EC 1.1.1.37	A994_08481	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.1.1.37
K2QBX9	unreviewed	K2QBX9_METFP	Uncharacterized protein	A994_08506	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBY6	unreviewed	K2QBY6_METFP	Uncharacterized protein	A994_08556	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBY8	unreviewed	K2QBY8_METFP	Uncharacterized protein	A994_08581	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBZ5	unreviewed	K2QBZ5_METFP	30S ribosomal protein S6e	rps6e A994_08631	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC01	unreviewed	K2QC01_METFP	Uncharacterized protein	A994_08681	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC05	unreviewed	K2QC05_METFP	Uncharacterized protein	A994_08706	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC18	unreviewed	K2QC18_METFP	Methanogenesis marker protein 6	A994_08806	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC22	unreviewed	K2QC22_METFP	Molybdenum cofactor synthesis domain-containing protein	A994_08831	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC26	unreviewed	K2QC26_METFP	Sodium solute transporter superfamily protein	A994_08856	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC29	unreviewed	K2QC29_METFP	N-acetyltransferase domain-containing protein	A994_07386	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC42	unreviewed	K2QC42_METFP	Phosphonate-transporting ATPase	A994_07486	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC45	unreviewed	K2QC45_METFP	CBFD_NFYB_HMF domain-containing protein	A994_07511	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC49	unreviewed	K2QC49_METFP	ABC transporter	A994_07536	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC53	unreviewed	K2QC53_METFP	Uncharacterized protein	A994_07561	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC57	unreviewed	K2QC57_METFP	Peptidoglycan-binding LysM	A994_07586	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC62	unreviewed	K2QC62_METFP	Major facilitator superfamily protein	A994_07611	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC65	unreviewed	K2QC65_METFP	Metallophosphoesterase	A994_07636	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC70	unreviewed	K2QC70_METFP	ABC transporter permease	A994_07661	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC76	unreviewed	K2QC76_METFP	Fibrillarin-like protein	A994_07711	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC81	unreviewed	K2QC81_METFP	FlpE-related protein	A994_07736	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC83	unreviewed	K2QC83_METFP	Uncharacterized protein	A994_07761	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC93	unreviewed	K2QC93_METFP	SAM-dependent methyltransferase	A994_07811	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QC98	unreviewed	K2QC98_METFP	Uncharacterized protein	A994_07836	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCA8	unreviewed	K2QCA8_METFP	FeoA family protein	A994_07886	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCB1	unreviewed	K2QCB1_METFP	Uncharacterized protein	A994_07911	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCB5	unreviewed	K2QCB5_METFP	Uncharacterized protein	A994_07936	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCB8	unreviewed	K2QCB8_METFP	Peptidase C60 sortase A and B	A994_07961	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCC1	unreviewed	K2QCC1_METFP	Iron-containing alcohol dehydrogenase	A994_07986	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCC4	unreviewed	K2QCC4_METFP	Uncharacterized protein	A994_08011	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCC9	unreviewed	K2QCC9_METFP	Uncharacterized protein	A994_08036	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCD3	unreviewed	K2QCD3_METFP	Uncharacterized protein	A994_08061	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCD6	unreviewed	K2QCD6_METFP	Uncharacterized protein	A994_08086	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCE1	unreviewed	K2QCE1_METFP	Phosphoesterase DHHA1	A994_08111	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCG1	unreviewed	K2QCG1_METFP	Heat shock protein Hsp20	A994_06465	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCG6	unreviewed	K2QCG6_METFP	4-vinyl reductase 4VR	A994_06490	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCH3	unreviewed	K2QCH3_METFP	Peptidase S8/S53 subtilisin kexin sedolisin	A994_06515	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCH9	unreviewed	K2QCH9_METFP	Phosphonate-transporting ATPase	A994_06540	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCI4	unreviewed	K2QCI4_METFP	Probable membrane transporter protein	A994_06565	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCI7	unreviewed	K2QCI7_METFP	Uncharacterized protein	A994_06590	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCJ3	unreviewed	K2QCJ3_METFP	Uncharacterized protein	A994_06615	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCJ8	unreviewed	K2QCJ8_METFP	Signal transduction histidine kinase	A994_06640	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCK2	unreviewed	K2QCK2_METFP	Daunorubicin resistance ABC transporter ATPase subunit	A994_06665	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCK7	unreviewed	K2QCK7_METFP	Uncharacterized protein	A994_06690	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCL1	unreviewed	K2QCL1_METFP	Uncharacterized protein	A994_06715	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCL6	unreviewed	K2QCL6_METFP	Family 2 glycosyl transferase	A994_06740	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCM0	unreviewed	K2QCM0_METFP	ATP-grasp fold domain-containing protein	A994_06765	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCM5	unreviewed	K2QCM5_METFP	DUF22 domain-containing protein	A994_06790	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCN7	unreviewed	K2QCN7_METFP	Citrate synthase	A994_06840	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCP5	unreviewed	K2QCP5_METFP	Putative HTH-type transcriptional regulatory protein A994_06865	A994_06865	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCQ0	unreviewed	K2QCQ0_METFP	Uncharacterized protein	A994_06890	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCQ9	unreviewed	K2QCQ9_METFP	Uncharacterized protein	A994_06940	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCR6	unreviewed	K2QCR6_METFP	Methanogenesis marker protein 1	A994_06965	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCS1	unreviewed	K2QCS1_METFP	Uncharacterized protein	A994_06990	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCT3	unreviewed	K2QCT3_METFP	4Fe-4S ferredoxin	A994_07040	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCT9	unreviewed	K2QCT9_METFP	4Fe-4S ferredoxin	A994_07065	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCU7	unreviewed	K2QCU7_METFP	Citrate synthase	A994_07090	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCV3	unreviewed	K2QCV3_METFP	Phosphate ABC transporter ATP-binding protein	A994_07115	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCV9	unreviewed	K2QCV9_METFP	Fumarate hydratase, EC 4.2.1.2	A994_07140	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.2.1.2
K2QCX8	unreviewed	K2QCX8_METFP	Signal transduction histidine kinase	A994_07165	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCY2	unreviewed	K2QCY2_METFP	Pyruvate ferredoxin/flavodoxin oxidoreductase subunit delta	A994_07190	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QCY5	unreviewed	K2QCY5_METFP	Peptidase M50	A994_07215	Methanobacterium formicicum (strain DSM 3637 / PP1)		
